Wavelengths (nm),0.0°
350.0,0.5089838693792608
351.0,0.5092767203552405
352.0,0.5095826734105616
353.0,0.5099247889096084
354.0,0.5103111840753921
355.0,0.5107406377785584
356.0,0.5112123054852103
357.0,0.5117249567639582
358.0,0.5122511833600962
359.0,0.512777315464297
360.0,0.5133033736177091
361.0,0.5138293807302957
362.0,0.5143553620606465
363.0,0.5148613887451224
364.0,0.5153259383828462
365.0,0.5157491541088007
366.0,0.5161312640116115
367.0,0.516472571647304
368.0,0.5167811066702236
369.0,0.5170869325330153
370.0,0.5173930840127711
371.0,0.5176995870849123
372.0,0.5180064680753931
373.0,0.5183137613514278
374.0,0.5186225955623618
375.0,0.518933760661681
376.0,0.5192472544643114
377.0,0.5195630746580732
378.0,0.5198812188034928
379.0,0.5202025522989469
380.0,0.5205350837560907
381.0,0.5208807124357542
382.0,0.5212393796681434
383.0,0.5216110249354411
384.0,0.5219955858940449
385.0,0.5223981005627316
386.0,0.5228456117763076
387.0,0.5233417995968409
388.0,0.5238863059135196
389.0,0.5244787566399975
390.0,0.5251187620273886
391.0,0.5258010487619121
392.0,0.5264930015662259
393.0,0.5271886215630199
394.0,0.5278878745562217
395.0,0.5285907262373766
396.0,0.5292971421888816
397.0,0.5300064126203952
398.0,0.5307005724808718
399.0,0.5313717898670195
400.0,0.5320202645826254
401.0,0.53264619247555
402.0,0.533249765494803
403.0,0.5338311717474562
404.0,0.5343959457285035
405.0,0.5349564183663473
406.0,0.5355131143127557
407.0,0.5360660799295844
408.0,0.5366153618203954
409.0,0.5371610068137851
410.0,0.537703105251967
411.0,0.5382463622558138
412.0,0.5387939365605463
413.0,0.5393458355687446
414.0,0.5399020670716517
415.0,0.5404626391990772
416.0,0.541027560369465
417.0,0.5415965457371373
418.0,0.5421611320792443
419.0,0.5427174907088336
420.0,0.5432657138336456
421.0,0.5438058932246397
422.0,0.5443381202117643
423.0,0.544862485680004
424.0,0.5453790473527799
425.0,0.5458826694335743
426.0,0.5463696770841877
427.0,0.5468401875787097
428.0,0.5472943149767894
429.0,0.547732170172414
430.0,0.5481538609414931
431.0,0.5485594919882525
432.0,0.548950990035737
433.0,0.5493335684417494
434.0,0.549707636002328
435.0,0.5500732970098998
436.0,0.5504306556402814
437.0,0.5507798159412152
438.0,0.5511208818212817
439.0,0.5514539608116118
440.0,0.551779838826834
441.0,0.5520991457083663
442.0,0.5524120179982073
443.0,0.5527185934525095
444.0,0.5530190109691903
445.0,0.5533134105162191
446.0,0.5536019330605971
447.0,0.5538847033761631
448.0,0.554161097606578
449.0,0.5544308237327374
450.0,0.5546939941886836
451.0,0.554950721156386
452.0,0.5552011165531253
453.0,0.5554452920191988
454.0,0.5556833589059296
455.0,0.5559154282639781
456.0,0.5561459722252478
457.0,0.5563800456334093
458.0,0.5566176779374793
459.0,0.5568588921718316
460.0,0.5571037107048231
461.0,0.5573521552329179
462.0,0.5576042467751442
463.0,0.5578600056678865
464.0,0.5581179751106357
465.0,0.5583677685418619
466.0,0.5586074723847423
467.0,0.5588372118589261
468.0,0.5590571110742392
469.0,0.5592672930523375
470.0,0.5594678797481704
471.0,0.5596589920712448
472.0,0.5598407499066875
473.0,0.560009171184609
474.0,0.5601493455310276
475.0,0.5602602422841635
476.0,0.5603422498283529
477.0,0.5603957549419558
478.0,0.5604211429159214
479.0,0.5604187976758687
480.0,0.5603891019074589
481.0,0.5603324371848264
482.0,0.5602516358039242
483.0,0.5601646490164032
484.0,0.560074985240815
485.0,0.5599826157968556
486.0,0.5598875127031151
487.0,0.5597896486560155
488.0,0.5596889970093823
489.0,0.5595855317546421
490.0,0.5594792275016182
491.0,0.5593700594599024
492.0,0.5592652366468766
493.0,0.559174291558031
494.0,0.5590968650657745
495.0,0.5590325599686772
496.0,0.5589809956916832
497.0,0.5589418078700781
498.0,0.5589146479495382
499.0,0.5588991828019165
500.0,0.5588950943563868
501.0,0.5589020792456018
502.0,0.5589126127926374
503.0,0.5589193652519071
504.0,0.5589223364616596
505.0,0.5589215262391043
506.0,0.558916934377626
507.0,0.5589085606440791
508.0,0.5588964047761574
509.0,0.5588804664798334
510.0,0.5588607454268684
511.0,0.5588372412523877
512.0,0.5588074727086513
513.0,0.5587634620397074
514.0,0.5587048648481108
515.0,0.5586319800420882
516.0,0.5585451148236285
517.0,0.5584445845136443
518.0,0.5583307123756331
519.0,0.5582038294377843
520.0,0.5580642743134662
521.0,0.5579123930200469
522.0,0.5577485387959709
523.0,0.5575785272529831
524.0,0.5574105121876389
525.0,0.5572444332775275
526.0,0.5570801571134696
527.0,0.5569175531354338
528.0,0.5567564935560196
529.0,0.5565968532859369
530.0,0.5564385098614204
531.0,0.5562813433735274
532.0,0.5561252363992684
533.0,0.5559700739345249
534.0,0.5558170241753684
535.0,0.555670072088737
536.0,0.555529246322886
537.0,0.5553942589953834
538.0,0.555264834238988
539.0,0.5551407079139048
540.0,0.5550216273339023
541.0,0.5549073510060343
542.0,0.5547976483836994
543.0,0.554692299632801
544.0,0.5545910954107683
545.0,0.5544938366582183
546.0,0.5543993197612254
547.0,0.5543061310247762
548.0,0.5542141614889039
549.0,0.5541233100041697
550.0,0.5540334789916703
551.0,0.553944574383225
552.0,0.553856505564649
553.0,0.5537691853220686
554.0,0.5536825297912427
555.0,0.5535964584098473
556.0,0.5535108938726901
557.0,0.553425762089814
558.0,0.5533407483373197
559.0,0.5532550370655801
560.0,0.553168482420456
561.0,0.5530809941042191
562.0,0.5529924886893408
563.0,0.5529028895651648
564.0,0.5528121268946485
565.0,0.5527201375810807
566.0,0.5526268652447074
567.0,0.5525322602091953
568.0,0.5524362794978749
569.0,0.5523388868396925
570.0,0.5522400526848273
571.0,0.552141019597295
572.0,0.5520437920590094
573.0,0.5519483936684251
574.0,0.5518548237636821
575.0,0.5517630832195776
576.0,0.5516731744556905
577.0,0.5515851014448377
578.0,0.5514988697218266
579.0,0.5514144863925096
580.0,0.5513319601431106
581.0,0.5512513012498125
582.0,0.5511725215885936
583.0,0.5510956346452863
584.0,0.5510208850912458
585.0,0.5509499468036991
586.0,0.5508831622419619
587.0,0.5508205444629486
588.0,0.5507621066816795
589.0,0.5507078622673707
590.0,0.5506578247394188
591.0,0.5506120077632891
592.0,0.5505704251462962
593.0,0.550533090833295
594.0,0.5505000189022814
595.0,0.550471223559899
596.0,0.5504467191368683
597.0,0.5504265200833264
598.0,0.5504105364679345
599.0,0.5503977688014184
600.0,0.5503879755322623
601.0,0.5503811709138535
602.0,0.550377369412926
603.0,0.5503765857063073
604.0,0.5503788346775857
605.0,0.5503841314137066
606.0,0.5503924912014952
607.0,0.5504039295241139
608.0,0.5504184620574507
609.0,0.5504361046664433
610.0,0.5504568734013406
611.0,0.5504807844939056
612.0,0.5505078543535579
613.0,0.5505384568014968
614.0,0.5505739264095739
615.0,0.5506143989934713
616.0,0.5506598868576816
617.0,0.5507104021022289
618.0,0.5507659566178266
619.0,0.5508265620811467
620.0,0.5508922299501741
621.0,0.5509629714596709
622.0,0.5510387976167377
623.0,0.5511197191964817
624.0,0.551205746737797
625.0,0.5512968905392476
626.0,0.5513931606550674
627.0,0.5514945668912731
628.0,0.5516010922708322
629.0,0.5517106747715366
630.0,0.5518220156140525
631.0,0.5519351147649117
632.0,0.5520499720720816
633.0,0.5521665872652011
634.0,0.5522849599558527
635.0,0.5524050896378803
636.0,0.5525269756877462
637.0,0.552650617364925
638.0,0.5527760138123408
639.0,0.5529031640568358
640.0,0.5530320670096818
641.0,0.5531627214671234
642.0,0.5532951261109582
643.0,0.5534292795091497
644.0,0.5535651801164753
645.0,0.5537024581572337
646.0,0.5538403868060942
647.0,0.5539789385277035
648.0,0.5541181047035945
649.0,0.5542578767056413
650.0,0.554398245898227
651.0,0.5545392036403862
652.0,0.5546807412879343
653.0,0.5548228501955772
654.0,0.5549655217190015
655.0,0.5551087472169458
656.0,0.5552525180532476
657.0,0.5553968255988753
658.0,0.5555416612339303
659.0,0.5556870163496327
660.0,0.5558328823502809
661.0,0.5559792506551868
662.0,0.5561259766263311
663.0,0.556272549121335
664.0,0.5564189128759318
665.0,0.5565650596249094
666.0,0.5567109811647071
667.0,0.5568566693547568
668.0,0.557002116118796
669.0,0.5571473134461534
670.0,0.5572922533930077
671.0,0.5574369280836164
672.0,0.5575813297115199
673.0,0.5577254505407176
674.0,0.557869282906815
675.0,0.5580128192181454
676.0,0.5581560519568632
677.0,0.5582989736800098
678.0,0.5584415770205512
679.0,0.5585838546883937
680.0,0.5587255182546742
681.0,0.5588648728467842
682.0,0.5590016291553774
683.0,0.5591357792752576
684.0,0.5592673155404201
685.0,0.559396230523637
686.0,0.5595225170360205
687.0,0.5596461681265685
688.0,0.5597671770817007
689.0,0.5598855374247684
690.0,0.5600012429155616
691.0,0.5601142875497914
692.0,0.5602246655585654
693.0,0.5603323714078456
