Wavelengths (nm),0.0°
350.0,0.4221707908640283
351.0,0.4230454635253804
352.0,0.4239799705065694
353.0,0.42497416750970646
354.0,0.42602789430896376
355.0,0.4271409744865897
356.0,0.42831321516816906
357.0,0.42954440675857053
358.0,0.4308343226784942
359.0,0.43218271910220907
360.0,0.4335775086410159
361.0,0.43496011636594534
362.0,0.4363227008657696
363.0,0.43766534932127943
364.0,0.4389881484605775
365.0,0.44029118450521854
366.0,0.4415745431178738
367.0,0.4428383093526244
368.0,0.44408256760749876
369.0,0.44530740157878473
370.0,0.44651289421750695
371.0,0.447708293252276
372.0,0.4489123936370284
373.0,0.4501255006633453
374.0,0.45134734692551903
375.0,0.4525776676738484
376.0,0.4538162009521881
377.0,0.4550626877276991
378.0,0.45631687201342536
379.0,0.4575785009831589
380.0,0.45884732507904935
381.0,0.4601230981121594
382.0,0.46140220315405606
383.0,0.4626533416656754
384.0,0.4638691191110912
385.0,0.46504975550742855
386.0,0.4661954652323315
387.0,0.467306456983023
388.0,0.4683829337397886
389.0,0.4694250927335901
390.0,0.4704331254174808
391.0,0.4714072174416083
392.0,0.472347548631527
393.0,0.47325429296963095
394.0,0.4741296928128142
395.0,0.475019463633151
396.0,0.47594215198327433
397.0,0.47689760206361853
398.0,0.4778856525947186
399.0,0.47890613679984156
400.0,0.47995888238792844
401.0,0.4810437115369496
402.0,0.4821604408777733
403.0,0.4833088814786681
404.0,0.4844888388305429
405.0,0.4857001128330419
406.0,0.4869424977816191
407.0,0.48821233677558146
408.0,0.48946855887662183
409.0,0.4906992807777517
410.0,0.4919045252462271
411.0,0.49308432116740114
412.0,0.4942387033749621
413.0,0.4953677124849892
414.0,0.4964713947338176
415.0,0.49754980181970204
416.0,0.49860299074825104
417.0,0.49963102368161777
418.0,0.5006339677914217
419.0,0.501611895115361
420.0,0.502564882417505
421.0,0.5035000189612455
422.0,0.504446152241729
423.0,0.5054063761621093
424.0,0.5063806712341489
425.0,0.5073690221546112
426.0,0.5083714177188158
427.0,0.5093878507359731
428.0,0.5104183179462463
429.0,0.5114628199394744
430.0,0.5125213610754987
431.0,0.5135939494060362
432.0,0.5146805965980364
433.0,0.5157813178584711
434.0,0.5168961318604991
435.0,0.5180250606709517
436.0,0.5191587461988582
437.0,0.5202808381047317
438.0,0.5213909404536113
439.0,0.5224889573749887
440.0,0.523574801295388
441.0,0.5246483928521661
442.0,0.5257096608031167
443.0,0.5267585419320441
444.0,0.5277949809504942
445.0,0.5288189303957984
446.0,0.5298303505256172
447.0,0.5308292092091392
448.0,0.5318154818151132
449.0,0.5327891510968717
450.0,0.5337502070745155
451.0,0.5346986469144202
452.0,0.5356360210468395
453.0,0.536563925913903
454.0,0.537482432347294
455.0,0.5383916103331859
456.0,0.5392915290197395
457.0,0.5401822567245733
458.0,0.541063860942211
459.0,0.54193640835149
460.0,0.542799964822943
461.0,0.54365459542614
462.0,0.5445003644369902
463.0,0.545337335345004
464.0,0.5461655708605124
465.0,0.5469851329218389
466.0,0.5477960827024263
467.0,0.548598480617909
468.0,0.5493923863331438
469.0,0.5501881062407609
470.0,0.5509980477973785
471.0,0.5518221658730558
472.0,0.5526603881200629
473.0,0.5535126433787614
474.0,0.5543788616416508
475.0,0.5552589740175407
476.0,0.5561529126958501
477.0,0.5570606109110355
478.0,0.5579820029071573
479.0,0.5589170239025741
480.0,0.5598656100547789
481.0,0.5608276984253693
482.0,0.5618032269451637
483.0,0.5627921343794521
484.0,0.5637943602933932
485.0,0.5648098450175568
486.0,0.565838529613608
487.0,0.5668751220505921
488.0,0.5678980693191001
489.0,0.5689050398337863
490.0,0.5698960352632436
491.0,0.570871063042215
492.0,0.5718301362692638
493.0,0.5727732736040012
494.0,0.5737004991639354
495.0,0.5746118424210164
496.0,0.5755073380979503
497.0,0.576387026064349
498.0,0.577250951232778
499.0,0.5780991634547692
500.0,0.5789317174168604
501.0,0.579748672536717
502.0,0.580550092859396
503.0,0.5813360469538092
504.0,0.5821066078094331
505.0,0.5828618527333228
506.0,0.5836018632474732
507.0,0.5843300021263412
508.0,0.5850543366083807
509.0,0.5857752575270193
510.0,0.5864927908536292
511.0,0.5872069624800249
512.0,0.5879177982179068
513.0,0.5886253237983844
514.0,0.5893295648715602
515.0,0.5900305470061906
516.0,0.5907282956894025
517.0,0.5914228363264813
518.0,0.5921141942407125
519.0,0.592802394673286
520.0,0.5934874627832524
521.0,0.5941694236475388
522.0,0.5948483022610117
523.0,0.5955241235365938
524.0,0.5961969123054267
525.0,0.5968666933170802
526.0,0.5975334912398117
527.0,0.598197330660862
528.0,0.5988582255016844
529.0,0.5995156072814067
530.0,0.6001691505962792
531.0,0.6008188687385236
532.0,0.6014647751702111
533.0,0.6021068835194029
534.0,0.6027452075763169
535.0,0.6033797612895455
536.0,0.6040105587623057
537.0,0.6046376142487311
538.0,0.6052609421502011
539.0,0.6058805570117107
540.0,0.6064964735182787
541.0,0.6071087064913947
542.0,0.6077172708855022
543.0,0.608322181784529
544.0,0.6089234543984429
545.0,0.609521104059858
546.0,0.6101151462206725
547.0,0.6107055964487493
548.0,0.6112924704246276
549.0,0.6118757839382803
550.0,0.6124555528859058
551.0,0.6130317932667585
552.0,0.6136051283286492
553.0,0.6141776585869446
554.0,0.6147495621761515
555.0,0.6153208409792499
556.0,0.6158914969588242
557.0,0.6164615321554868
558.0,0.6170309486863409
559.0,0.617599748743469
560.0,0.618167934592456
561.0,0.6187355085709431
562.0,0.6193024730872112
563.0,0.6198688306187937
564.0,0.6204345837111183
565.0,0.6209997349761786
566.0,0.6215642870912291
567.0,0.6221282427975153
568.0,0.6226916048990204
569.0,0.6232543762612471
570.0,0.6238165598100198
571.0,0.6243781585303124
572.0,0.6249391754651009
573.0,0.6254996137142451
574.0,0.6260594764333826
575.0,0.6266187668328563
576.0,0.6271774881766604
577.0,0.6277356437814089
578.0,0.62829150783066
579.0,0.628843361175773
580.0,0.6293912174600732
581.0,0.6299350907027664
582.0,0.6304749952918758
583.0,0.6310109459772134
584.0,0.6315429578633857
585.0,0.6320710464028357
586.0,0.6325952273889186
587.0,0.633115516949017
588.0,0.6336319315376929
589.0,0.6341444879298795
590.0,0.6346532032141112
591.0,0.6351580947857989
592.0,0.6356591803405411
593.0,0.6361564778674815
594.0,0.6366500056427101
595.0,0.6371397822227053
596.0,0.637625826437827
597.0,0.638108157385844
598.0,0.6385867944255218
599.0,0.6390617571702488
600.0,0.6395330654817095
601.0,0.6400007394636091
602.0,0.6404647994554471
603.0,0.6409252660263397
604.0,0.641382159968888
605.0,0.6418355022931044
606.0,0.6422853830402105
607.0,0.6427319422536192
608.0,0.6431752019819792
609.0,0.6436151821657389
610.0,0.6440519027835682
611.0,0.6444853838498469
612.0,0.6449156454121975
613.0,0.6453427075490412
614.0,0.6457665903672009
615.0,0.6461873139995299
616.0,0.6466048986025785
617.0,0.647019364354298
618.0,0.6474307314517717
619.0,0.6478390201089873
620.0,0.6482442505546346
621.0,0.6486464430299456
622.0,0.6490456177865563
623.0,0.6494417950844126
624.0,0.6498349951896984
625.0,0.6502252383728059
626.0,0.6506125449063245
627.0,0.6509969350630762
628.0,0.651378430581707
629.0,0.6517571300717464
630.0,0.6521330871935614
631.0,0.6525063072706941
632.0,0.6528767963608981
633.0,0.653244561237039
634.0,0.6536096093688817
635.0,0.653971948905728
636.0,0.6543315886598803
637.0,0.6546885380909053
638.0,0.6550428072906709
639.0,0.6553944069691322
640.0,0.6557433484408429
641.0,0.6560896436121776
642.0,0.6564333049692235
643.0,0.6567743455663491
644.0,0.657112779015406
645.0,0.6574481785393599
646.0,0.6577796509853477
647.0,0.6581071876971418
648.0,0.6584308092749712
649.0,0.658750537973864
650.0,0.6590663976755715
651.0,0.6593784138600339
652.0,0.6596866135763996
653.0,0.6599910254136241
654.0,0.6602916794706739
655.0,0.6605886073263505
656.0,0.6608818420087639
657.0,0.6611714179644727
658.0,0.6614573710273174
659.0,0.6617397383869589
660.0,0.6620185585571646
661.0,0.6622938713438377
662.0,0.6625663147811965
663.0,0.6628383629804611
664.0,0.6631102731890062
665.0,0.6633820362513129
666.0,0.6636536433096534
667.0,0.663925085798437
668.0,0.6641963554386835
669.0,0.6644674442326252
670.0,0.6647383444584358
671.0,0.6650090486650727
672.0,0.6652795496672486
673.0,0.6655498405405117
674.0,0.6658199146164401
675.0,0.6660897654779501
676.0,0.6663593869547079
677.0,0.6666287731186519
678.0,0.6668979182796138
679.0,0.6671668169810429
680.0,0.6674349593415145
681.0,0.6676993242952773
682.0,0.6679594326043946
683.0,0.6682153110022105
684.0,0.6684669862147355
685.0,0.6687144849590765
686.0,0.6689578339419028
687.0,0.6691970598579365
688.0,0.6694321893884909
689.0,0.6696632492000276
690.0,0.6698902659427497
691.0,0.6701132662492333
692.0,0.6703322767330753
693.0,0.6705473239875862
694.0,0.6707584345845035
695.0,0.6709656350727333
696.0,0.671168951977126
697.0,0.6713684117972769
698.0,0.6715640410063513
699.0,0.6717561810857919
700.0,0.6719485880514976
701.0,0.6721423374434842
702.0,0.6723374156001054
703.0,0.6725338090569963
704.0,0.6727315045445663
705.0,0.6729304889855172
706.0,0.6731307494924024
707.0,0.6733322733652214
708.0,0.6735350480890439
709.0,0.6737390613316725
710.0,0.6739443009413361
711.0,0.674150754944417
712.0,0.674358411543209
713.0,0.6745672591137094
714.0,0.6747772862034401
715.0,0.6749884815292986
716.0,0.6752008339754472
717.0,0.6754143325912181
718.0,0.6756289665890612
719.0,0.6758446780167879
720.0,0.676055883200799
721.0,0.6762587863479813
722.0,0.6764534320518822
723.0,0.6766398643487084
724.0,0.676818126723639
725.0,0.6769882621171397
726.0,0.6771503129312656
727.0,0.6773043210359605
728.0,0.677450327775352
729.0,0.6775883739740337
730.0,0.6777184999433429
731.0,0.6778407454876292
732.0,0.67795514991051
733.0,0.6780617520211243
734.0,0.678160590140367
735.0,0.6782517021071199
736.0,0.6783351252844679
737.0,0.6784108965659056
738.0,0.6784790523815317
739.0,0.6785396287042347
740.0,0.6785926610558624
741.0,0.6786397652108282
742.0,0.678686398577107
743.0,0.6787330091048401
744.0,0.6787795856979576
745.0,0.6788261174626463
746.0,0.6788725937039691
747.0,0.6789190039225571
748.0,0.6789653378113586
749.0,0.6790115852524502
750.0,0.6790577363139128
