Wavelengths (nm),0.0°
350.0,0.46928404989754907
351.0,0.4705506721809986
352.0,0.47186349559605656
353.0,0.4732240279963872
354.0,0.47463382258840053
355.0,0.4760943478401627
356.0,0.47760702264609384
357.0,0.47917321850554
358.0,0.4807942499004379
359.0,0.4824703571997448
360.0,0.4842014305639114
361.0,0.48598498708896154
362.0,0.48782148708997447
363.0,0.4897128525592226
364.0,0.4916629748675958
365.0,0.4936753159872351
366.0,0.4957509274032253
367.0,0.49789045234524476
368.0,0.5000934348585699
369.0,0.5023542421395749
370.0,0.5046702778168012
371.0,0.5070393771095206
372.0,0.5094583408732803
373.0,0.5119283207619048
374.0,0.5144601099737988
375.0,0.5170535040341111
376.0,0.5197038508680916
377.0,0.5224083301180736
378.0,0.5251637899956224
379.0,0.527959948304296
380.0,0.5307921734283768
381.0,0.5336569936824817
382.0,0.5365503334074834
383.0,0.5394686294037974
384.0,0.5424125833458597
385.0,0.5453791209507656
386.0,0.5483638687046275
387.0,0.5513612125108899
388.0,0.5543635508433404
389.0,0.5573613504783422
390.0,0.5603506318540962
391.0,0.563326716200095
392.0,0.5662842271469813
393.0,0.569218458551506
394.0,0.5721271263087326
395.0,0.5750040710665251
396.0,0.5778438695314431
397.0,0.5806431445486253
398.0,0.5834004786383261
399.0,0.5861151547942305
400.0,0.5887808166543536
401.0,0.5913922601010569
402.0,0.5939454137769095
403.0,0.5964348436507647
404.0,0.5988477099582757
405.0,0.6011820620727655
406.0,0.6034373747174413
407.0,0.6056119133562744
408.0,0.6077040360327849
409.0,0.609720365107887
410.0,0.611661137978062
411.0,0.6135259142076943
412.0,0.6153136052621546
413.0,0.6170231152362212
414.0,0.6186518490326006
415.0,0.6201996143357106
416.0,0.6216657593878739
417.0,0.6230506358430252
418.0,0.6243554876874389
419.0,0.625583151186614
420.0,0.6267355968426389
421.0,0.6278140026803307
422.0,0.6288180761054145
423.0,0.6297499125851732
424.0,0.6306130704177496
425.0,0.6314109500741789
426.0,0.6321454235825933
427.0,0.6328180108016361
428.0,0.6334301914716667
429.0,0.6339841088640858
430.0,0.6344824031036196
431.0,0.6349277227805898
432.0,0.6353221284751539
433.0,0.6356671308258801
434.0,0.635964154951672
435.0,0.6362153181881179
436.0,0.6364235494156103
437.0,0.6365920741843484
438.0,0.636722875790227
439.0,0.6368172394127333
440.0,0.6368757542232404
441.0,0.6369000819556078
442.0,0.636892252790584
443.0,0.6368550406662956
444.0,0.6367901349207951
445.0,0.6366991229570927
446.0,0.6365832368593103
447.0,0.6364438222600929
448.0,0.6362823048597742
449.0,0.6361002661717404
450.0,0.6358990297472286
451.0,0.635679909979259
452.0,0.6354449237133148
453.0,0.6351956649563247
454.0,0.6349323212476351
455.0,0.634655629119907
456.0,0.6343663311263453
457.0,0.6340653282864178
458.0,0.6337533040463385
459.0,0.6334300247614587
460.0,0.6330960001421261
461.0,0.6327518582788717
462.0,0.6323977793816727
463.0,0.6320344079431701
464.0,0.6316650057063429
465.0,0.63129083000567
466.0,0.6309132871918395
467.0,0.6305330308178824
468.0,0.6301502982800413
469.0,0.6297633903923949
470.0,0.6293720529170502
471.0,0.6289766651463746
472.0,0.6285777263251259
473.0,0.6281764553808894
474.0,0.6277736461962946
475.0,0.6273696558546366
476.0,0.6269644664963611
477.0,0.6265579030377332
478.0,0.6261501459332822
479.0,0.6257410627089051
480.0,0.6253308575604085
481.0,0.6249197325956519
482.0,0.6245078468648594
483.0,0.6240956640161556
484.0,0.6236852270966231
485.0,0.6232769844223113
486.0,0.6228710528252752
487.0,0.6224676716905005
488.0,0.6220667585223476
489.0,0.621665099759062
490.0,0.6212622331431437
491.0,0.6208578569283396
492.0,0.6204514174722439
493.0,0.6200435582027826
494.0,0.6196379109247492
495.0,0.6192354719004517
496.0,0.618836673175871
497.0,0.6184415195640173
498.0,0.6180494064729497
499.0,0.6176571451106441
500.0,0.6172645915039776
501.0,0.6168717917819045
502.0,0.6164787887565476
503.0,0.6160851732528262
504.0,0.6156933270202233
505.0,0.6153037940831678
506.0,0.614916517811916
507.0,0.6145320375120112
508.0,0.6141506999120877
509.0,0.6137689954858817
510.0,0.6133863344665124
511.0,0.6130026288578306
512.0,0.6126176284231484
513.0,0.6122318255915166
514.0,0.6118483879780896
515.0,0.6114677955478118
516.0,0.6110900434314066
517.0,0.6107150939118346
518.0,0.6103426095608596
519.0,0.6099708083951827
520.0,0.6095990643914451
521.0,0.6092271559765943
522.0,0.6088550216041488
523.0,0.6084826477181198
524.0,0.6081103825321398
525.0,0.6077384731943289
526.0,0.6073668702349055
527.0,0.6069955144606575
528.0,0.6066243545716903
529.0,0.6062535037990255
530.0,0.6058829653210226
531.0,0.6055126812609656
532.0,0.6051425932324513
533.0,0.6047724243929494
534.0,0.6044016694598471
535.0,0.6040302502834463
536.0,0.6036581005376717
537.0,0.6032851635815629
538.0,0.6029117181572461
539.0,0.6025378606580932
540.0,0.6021635153747655
541.0,0.6017886066909827
542.0,0.6014130839285602
543.0,0.601037026532229
544.0,0.6006604031520378
545.0,0.6002831576720742
546.0,0.5999052336011703
547.0,0.5995264045963867
548.0,0.5991461599197422
549.0,0.5987643853056909
550.0,0.5983809951431377
551.0,0.5979959051637856
552.0,0.5976090384882703
553.0,0.5972203389948164
554.0,0.5968297824099441
555.0,0.5964373069629004
556.0,0.59604284346026
